id,name,loss_type,attack_time,attack_date,attack_lat,attack_lo,nationality,tonnage,complement,survivors,dead,commander,ship_name
18,U-18,Sunk,9.16.00 PM,11/18/1939,58.07,-2.18,British,500,9,0,9,Max-Hermann Bauer,Parkhill
18,U-18,Sunk,7.01.00 AM,1/23/1940,,,Norwegian,1000,14,0,14,Ernst Mengersen,Bisp
18,U-18,Sunk,9.51.00 PM,8/29/1943,42.3,40.48,Soviet,400,38,23,15,Karl Fleige,TSC-11 Dzhalita
18,U-18,Damaged,7.32.00 PM,8/30/1943,42.43,41.19,Soviet,56,,,,Karl Fleige,SKA-0132
18,U-18,Damaged,5.15.00 PM,11/18/1943,,,Soviet,7745,,,,Karl Fleige,Josif Stalin
19,U-19,Sunk,,10/21/1939,53.2,0.38,Norwegian,3295,23,23,0,Hans Meckel,Deodata
19,U-19,Sunk,2.00.00 AM,10/21/1939,53.19,0.38,French,3087,,,0,Hans Meckel,Capitaine Edmond Laborie
19,U-19,Sunk,9.00.00 AM,10/24/1939,53.18,0.37,Greek,5962,31,27,4,Hans Meckel,Konstantinos Hadjipateras
19,U-19,Sunk,11.55.00 AM,11/18/1939,52.05,1.41,Yugoslavian,6371,,,0,Wilhelm Müller-Arnecke,Carica Milica
19,U-19,Sunk,2.21.00 AM,1/9/1940,58.3,-1.33,Norwegian,1343,19,6,13,Joachim Schepke,Manx
19,U-19,Sunk,8.43.00 AM,1/23/1940,55.35,-1.27,Norwegian,1598,22,22,0,Joachim Schepke,Pluto
19,U-19,Sunk,8.43.00 AM,1/23/1940,55.35,-1.27,British,1523,27,27,0,Joachim Schepke,Baltanglia
19,U-19,Sunk,9.12.00 PM,1/25/1940,55.42,-1.3,Latvian,4434,31,30,1,Joachim Schepke,Everene
19,U-19,Sunk,9.30.00 PM,1/25/1940,55.42,-1.3,Norwegian,1300,18,8,10,Joachim Schepke,Gudveig
19,U-19,Sunk,9.35.00 PM,3/19/1940,58.07,-2.39,Danish,1229,20,9,11,Joachim Schepke,Minsk
19,U-19,Sunk,9.35.00 PM,3/19/1940,58.07,-2.39,Danish,1026,20,0,20,Joachim Schepke,Charkow
19,U-19,Sunk,4.15.00 AM,3/20/1940,58.21,-2.22,Danish,1153,17,2,15,Joachim Schepke,Viking
19,U-19,Sunk,4.15.00 AM,3/20/1940,58.21,-2.22,Danish,2109,20,5,15,Joachim Schepke,Bothal
19,U-19,Sunk,3.58.00 PM,6/27/1944,,,Soviet,1000,,,,Willy Ohlenburg,Barzha (No 75)
19,U-19,Sunk,5.22.00 AM,9/2/1944,43.51,29.12,Soviet,441,,,,Willy Ohlenburg,BTSC-410 Vzryv (No 25)
20,U-20,Sunk,1.30.00 AM,11/29/1939,52.45,1.56,British,3114,37,37,0,Karl-Heinz Moehle,Ionian
20,U-20,Sunk,7.21.00 PM,12/9/1939,57.48,-0.35,Danish,1339,19,1,18,Karl-Heinz Moehle,Magnus
20,U-20,Sunk,6.55.00 AM,12/10/1939,,,Norwegian,1674,18,0,18,Karl-Heinz Moehle,Føina
20,U-20,Sunk,4.00.00 PM,12/10/1939,52.53,1.51,British,4815,36,36,0,Karl-Heinz Moehle,Willowpool
20,U-20,Sunk,4.30.00 AM,1/13/1940,58.45,-1.12,Swedish,1524,20,0,20,Karl-Heinz Moehle,Sylvia
20,U-20,Total Loss,8.03.00 PM,1/27/1940,58.55,-2.46,Norwegian,844,15,7,8,Harro von Klot-Heydenfeldt,Faro
20,U-20,Sunk,8.52.00 PM,1/27/1940,58.25,-1.53,Danish,2094,20,0,20,Harro von Klot-Heydenfeldt,Fredensborg
20,U-20,Sunk,9.24.00 PM,1/27/1940,58.25,-1.53,Danish,2319,21,1,20,Harro von Klot-Heydenfeldt,England
20,U-20,Sunk,11.13.00 PM,1/27/1940,58.25,-1.53,Norwegian,1591,18,1,17,Harro von Klot-Heydenfeldt,Hosanger
20,U-20,Sunk,10.32.00 PM,2/29/1940,52.24,1.59,Italian,4211,30,18,12,Harro von Klot-Heydenfeldt,Maria Rosa
20,U-20,Sunk,3.15.00 AM,3/1/1940,52.24,2.02,Italian,5340,30,29,1,Harro von Klot-Heydenfeldt,Mirella
20,U-20,Damaged,6.02.00 AM,11/29/1943,,,Soviet,1846,,,0,Karl Grafen,Peredovik
20,U-20,Total Loss,4.23.00 PM,1/16/1944,42.21,41.31,Soviet,7602,64,60,4,Karl Grafen,Vaijan Kutur'e
20,U-20,Sunk,3.15.00 PM,4/7/1944,42.11,41.38,Soviet,187,,,,Karl Grafen,Rion
20,U-20,Sunk,8.28.00 PM,6/19/1944,41.03,39.42,Soviet,1850,66,48,18,Karl Grafen,PestelÂ´
20,U-20,Sunk,10.50.00 AM,6/24/1944,43.17,40.14,Soviet,9,,,,Karl Grafen,DB-26
21,U-21,Damaged,10.58.00 AM,11/21/1939,56.06,-2.55,British,11500,,,1,Fritz Frauenheim,HMS Belfast (35)
21,U-21,Sunk,4.53.00 AM,12/1/1939,57.25,-1.35,Finnish,4260,36,35,1,Fritz Frauenheim,Mercator
21,U-21,Sunk,,12/21/1939,,,British,605,,,3,Fritz Frauenheim,HMS Bayonet (Z 05)
21,U-21,Sunk,6.50.00 AM,12/21/1939,57,0.2,Swedish,1475,19,1,18,Fritz Frauenheim,Mars
21,U-21,Sunk,6.50.00 AM,12/21/1939,57,0.17,Swedish,1352,17,7,10,Fritz Frauenheim,Carl Henckel
21,U-21,Sunk,7.54.00 PM,1/31/1940,58.39,2,Danish,1353,34,18,16,Wolf-Harro Stiebler,Vidar
21,U-21,Sunk,,2/24/1940,56.06,-2.55,British,2266,27,27,0,Fritz Frauenheim,Royal Archer
22,U-22,Sunk,11.06.00 PM,11/18/1939,57.59,-2.18,British,345,16,0,16,Karl-Heinrich Jenisch,Wigmore
22,U-22,Sunk,2.30.00 PM,12/20/1939,,,Swedish,1877,22,15,7,Karl-Heinrich Jenisch,Mars
22,U-22,Sunk,,12/23/1939,55.06,-1.27,British,3099,7,7,0,Karl-Heinrich Jenisch,HMS Dolphin
22,U-22,Sunk,,12/25/1939,55.08,-1.21,British,534,16,0,16,Karl-Heinrich Jenisch,HMS Loch Doon (FY 127)
22,U-22,Sunk,9.32.00 AM,12/28/1939,,,Danish,1080,17,2,15,Karl-Heinrich Jenisch,Hanne
22,U-22,Sunk,5.35.00 AM,1/21/1940,58.18,-2.25,British,1475,190,0,190,Karl-Heinrich Jenisch,HMS Exmouth (H 02)
22,U-22,Sunk,7.11.00 AM,1/21/1940,58.18,-2.25,Danish,1469,18,9,9,Karl-Heinrich Jenisch,Tekla
22,U-22,Sunk,9.30.00 PM,1/21/1940,55.05,-1.27,British,1086,13,2,11,Karl-Heinrich Jenisch,Ferryhill
22,U-22,Sunk,,1/28/1940,55.03,-1.24,British,1487,18,0,18,Karl-Heinrich Jenisch,Eston
23,U-23,Sunk,6.00.00 AM,10/4/1939,58.52,-1.31,British,876,17,16,1,Otto Kretschmer,Glen Farg
23,U-23,Sunk,12.04.00 AM,12/8/1939,57.31,2.17,Danish,2400,21,2,19,Otto Kretschmer,Scotia
23,U-23,Sunk,4.32.00 PM,1/11/1940,58.25,-1.1,Norwegian,1150,16,5,11,Otto Kretschmer,Fredville
23,U-23,Total Loss,6.50.00 AM,1/12/1940,58.59,-2.53,Danish,10517,40,40,0,Otto Kretschmer,Danmark
23,U-23,Sunk,7.08.00 PM,1/24/1940,,,Norwegian,1085,15,0,15,Otto Kretschmer,Varild
23,U-23,Sunk,3.54.00 AM,2/18/1940,58.4,-1.35,British,1375,162,5,157,Otto Kretschmer,HMS Daring (H 16)
23,U-23,Sunk,4.05.00 AM,2/19/1940,58.55,-1.53,British,5225,34,0,34,Otto Kretschmer,Tiberton
23,U-23,Total Loss,6.09.00 PM,2/22/1940,,,British,4996,39,35,4,Otto Kretschmer,Loch Maddy
23,U-23,Sunk,9.12.00 PM,8/24/1943,,,Soviet,35,10,7,3,Rolf-Birger Wahlen,Shkval
23,U-23,Damaged,9.31.00 PM,10/15/1943,42.47,41.06,Soviet,1005,,,,Rolf-Birger Wahlen,TSC-486 Sovetskaja Rossija
23,U-23,Sunk,12.41.00 AM,10/23/1943,42.22,41.35,Soviet,372,21,10,11,Rolf-Birger Wahlen,Tanais
23,U-23,Damaged,1.15.00 AM,4/5/1944,42.15,41.3,Soviet,56,,,,Rolf-Birger Wahlen,SKA-099
23,U-23,Sunk,12.56.00 PM,5/29/1944,42.51,41.03,Soviet,71,,,11,Rolf-Birger Wahlen,Smelyj
23,U-23,Total Loss,3.31.00 AM,9/1/1944,44.1,28.4,Romanian,2686,,,,Rudolf Arendt,Oituz
24,U-24,Sunk,7.20.00 AM,11/9/1939,54.51,-1.16,British,961,17,15,2,Harald Jeppener-Haltenhoff,Carmarthen Coast
24,U-24,Damaged,12.30.00 PM,3/31/1943,,,Soviet,7661,,,,Clemens Schöler,Kreml'
24,U-24,Sunk,2.19.00 PM,6/15/1943,,,Soviet,441,52,26,26,Klaus Petersen,BTSC-411 Zashchitnik (No 26)
24,U-24,Total Loss,6.46.00 PM,7/30/1943,,,Soviet,7886,,,,Klaus Petersen,Emba
24,U-24,Sunk,1.24.00 AM,8/22/1943,,,Soviet,16,3,3,0,Klaus Petersen,DB-36 (No 363)
24,U-24,Sunk,1.24.00 AM,8/22/1943,,,Soviet,16,3,3,0,Klaus Petersen,DB-37 (No 365)
24,U-24,Sunk,4.37.00 PM,10/31/1943,,,Soviet,56,,,,Klaus Petersen,SKA-088
24,U-24,Sunk,11.23.00 PM,5/12/1944,41.58,41.27,Soviet,44,21,1,20,Martin Landt-Hayen,SKA-0376
25,U-25,Sunk,5.25.00 AM,10/31/1939,43.48,-9.08,French,5874,46,33,13,Viktor Schütze,Baoulé
25,U-25,Sunk,11.56.00 AM,1/17/1940,,,British,4751,36,0,36,Viktor Schütze,Polzella
25,U-25,Sunk,11.56.00 AM,1/17/1940,60.58,-0.53,Norwegian,1140,16,16,0,Viktor Schütze,Enid
25,U-25,Sunk,4.25.00 PM,1/18/1940,59.05,-5.56,Swedish,6873,35,35,0,Viktor Schütze,Pajala
25,U-25,Sunk,11.38.00 AM,1/22/1940,,,Norwegian,2589,,,0,Viktor Schütze,Songa
25,U-25,Sunk,2.32.00 PM,2/3/1940,38.15,-11.15,British,6805,54,54,0,Viktor Schütze,Armanistan
25,U-25,Sunk,7.16.00 AM,2/13/1940,61.3,2,Danish,5177,30,30,0,Viktor Schütze,Chastine Mærsk
25,U-25,Sunk,7.16.00 AM,6/13/1940,57,-9.57,British,17046,352,345,7,Heinz Beduhn,HMS Scotstoun
25,U-25,Damaged,1.28.00 AM,6/19/1940,,,French,7638,,,,Heinz Beduhn,Brumaire
26,U-26,Sunk,7.40.00 PM,9/15/1939,50.32,-2.16,Belgian,5965,57,57,0,Klaus Ewerth,Alex van Opstal
26,U-26,Sunk,2.00.00 PM,10/7/1939,50.32,-2.2,Dutch,6873,42,42,0,Klaus Ewerth,Binnendijk
26,U-26,Sunk,3.40.00 AM,11/13/1939,36.16,-2.13,French,4285,39,0,39,Klaus Ewerth,Loire
26,U-26,Sunk,11.00.00 PM,11/22/1939,50.3,-2.21,Greek,4576,24,24,0,Klaus Ewerth,Elena R.
26,U-26,Sunk,9.55.00 AM,2/12/1940,50.5,-14.1,Norwegian,3482,25,25,0,Heinz Scheringer,Nidarholm
26,U-26,Sunk,8.00.00 AM,2/14/1940,51.4,-12.4,British,4622,34,30,4,Heinz Scheringer,Langleeford
26,U-26,Sunk,8.37.00 AM,2/15/1940,,,Norwegian,2477,24,11,13,Heinz Scheringer,Steinstad
26,U-26,Sunk,7.49.00 AM,4/21/1940,62.49,4.1,British,5159,45,30,15,Heinz Scheringer,Cedarbank
26,U-26,Sunk,,6/29/1940,49.59,-11.24,Greek,6701,38,32,6,Heinz Scheringer,Frangoula B. Goulandris
26,U-26,Sunk,,6/30/1940,48.15,-10.3,Norwegian,3214,25,25,0,Heinz Scheringer,Belmoira
26,U-26,Sunk,7.30.00 PM,6/30/1940,48.26,-10.58,Estonian,1291,17,13,4,Heinz Scheringer,Merkur
591,U-591,Sunk,11.17.00 PM,12/29/1942,43.23,-27.14,British,4871,53,49,4,Hans-Jürgen Zetzsche,Zarian
27,U-27,Sunk,2.55.00 PM,9/13/1939,,,British,291,12,12,0,Johannes Franz,Davara
27,U-27,Sunk,3.53.00 PM,9/16/1939,53.5,-11.1,British,333,13,13,0,Johannes Franz,Rudyard Kipling
28,U-28,Sunk,10.00.00 AM,9/14/1939,51.23,-7.03,British,4955,33,30,3,Günter Kuhnke,Vancouver City
28,U-28,Sunk,12.20.00 AM,11/17/1939,,,Dutch,5133,31,5,26,Günter Kuhnke,Sliedrecht
28,U-28,Sunk,1.19.00 PM,11/25/1939,49.15,-9,British,5144,,,0,Günter Kuhnke,Royston Grange
28,U-28,Total Loss,9.36.00 AM,1/21/1940,51.31,-4.04,British,9577,,,0,Günter Kuhnke,Protesilaus
28,U-28,Sunk,11.17.00 PM,3/9/1940,,,Greek,4979,30,0,30,Günter Kuhnke,P. Margaronis
28,U-28,Sunk,3.17.00 AM,3/11/1940,48.35,-8.22,Dutch,6236,42,42,0,Günter Kuhnke,Eulota
28,U-28,Sunk,12.00.00 PM,6/18/1940,49.04,-12.05,Finnish,2417,23,23,0,Günter Kuhnke,Sarmatia
28,U-28,Sunk,7.29.00 PM,6/19/1940,49.35,-11.15,Greek,3443,,,1,Günter Kuhnke,Adamandios Georgandis
28,U-28,Sunk,8.46.00 AM,6/21/1940,49.44,-8.52,British,4443,97,40,57,Günter Kuhnke,HMS Cape Howe (X 02)
28,U-28,Sunk,4.03.00 PM,8/27/1940,57.48,-11.51,Norwegian,1599,18,17,1,Günter Kuhnke,Eva
28,U-28,Sunk,8.57.00 PM,8/28/1940,58.06,-13.26,British,3946,37,32,5,Günter Kuhnke,Kyno
28,U-28,Sunk,4.47.00 AM,9/9/1940,56.37,-9,British,2434,38,32,6,Günter Kuhnke,Mardinian
28,U-28,Damaged,3.28.00 AM,9/11/1940,55.34,-15.56,British,4678,,,1,Günter Kuhnke,Harpenden
28,U-28,Sunk,3.28.00 AM,9/11/1940,55.34,-15.56,Dutch,1966,22,2,20,Günter Kuhnke,Maas
31,U-31,Sunk,4.32.00 AM,10/29/1940,57.3,-16.31,British,5389,71,0,71,Wilfried Prellberg,Matina
29,U-29,Sunk,12.15.00 PM,9/8/1939,49.57,-15.34,British,10176,44,44,0,Otto Schuhart,Regent Tiger
29,U-29,Sunk,3.30.00 PM,9/13/1939,49.2,-14.4,British,798,21,21,0,Otto Schuhart,Neptunia
29,U-29,Sunk,1.15.00 PM,9/14/1939,49.43,-12.49,British,8431,42,42,0,Otto Schuhart,British Influence
29,U-29,Sunk,2.45.00 PM,9/17/1939,50.1,-14.45,British,22500,1259,741,518,Otto Schuhart,HMS Courageous (50)
29,U-29,Sunk,,3/3/1940,51.24,-3.37,British,710,15,2,13,Otto Schuhart,Cato
29,U-29,Sunk,5.23.00 AM,3/4/1940,50.23,-5.49,British,3072,68,4,64,Otto Schuhart,Thurston
29,U-29,Sunk,11.00.00 AM,3/4/1940,50.28,-5.49,British,6717,53,53,0,Otto Schuhart,Pacific Reliance
29,U-29,Sunk,,3/16/1940,51.2,-3.39,Yugoslavian,4512,34,33,1,Otto Schuhart,Slava
29,U-29,Sunk,3.30.00 PM,6/26/1940,44.23,-11.41,Greek,5254,,,0,Otto Schuhart,Dimitris
29,U-29,Sunk,7.17.00 PM,7/1/1940,46.2,-14.3,Greek,7466,25,25,0,Otto Schuhart,Adamastos
29,U-29,Sunk,11.25.00 AM,7/2/1940,47.1,-16.1,Panamanian,4919,39,39,0,Otto Schuhart,Santa Margarita
29,U-29,Sunk,11.52.00 PM,7/2/1940,47.24,-16.49,British,8999,42,42,0,Otto Schuhart,Athellaird
29,U-29,Sunk,2.02.00 PM,9/25/1940,53.34,-20.23,British,6223,93,64,29,Otto Schuhart,Eurymedon
30,U-30,Sunk,7.39.00 PM,9/3/1939,56.44,-14.05,British,13581,1418,306,112,Fritz-Julius Lemp,Athenia
30,U-30,Sunk,4.24.00 AM,9/11/1939,54.58,-15.14,British,4425,30,30,0,Fritz-Julius Lemp,Blairlogie
30,U-30,Sunk,1.23.00 PM,9/14/1939,56.43,-15.21,British,5200,42,42,0,Fritz-Julius Lemp,Fanad Head
30,U-30,Sunk,4.00.00 AM,12/28/1939,,,British,325,,,1,Fritz-Julius Lemp,HMS Barbara Robertson
331,U-331,Sunk,4.29.00 PM,11/25/1941,32.34,26.24,British,31100,1311,449,862,Hans-Diedrich Freiherr von Tiesenhausen,HMS Barham (04)
30,U-30,Sunk,11.00.00 AM,1/11/1940,53.32,-3.25,British,7267,36,32,4,Fritz-Julius Lemp,El Oso
30,U-30,Damaged,,1/16/1940,,,British,5642,,,0,Fritz-Julius Lemp,Gracia
30,U-30,Sunk,5.00.00 PM,1/17/1940,53.32,-3.27,British,5494,48,48,0,Fritz-Julius Lemp,Cairnross
30,U-30,Sunk,6.00.00 AM,2/7/1940,53.36,-3.24,British,4305,235,235,0,Fritz-Julius Lemp,Munster
30,U-30,Sunk,1.05.00 AM,2/9/1940,,,British,5406,64,62,2,Fritz-Julius Lemp,Chagres
30,U-30,Sunk,,3/8/1940,53.38,-3.23,British,5068,78,78,0,Fritz-Julius Lemp,Counsellor
30,U-30,Sunk,9.42.00 PM,6/20/1940,48.45,-8.13,British,4876,39,16,23,Fritz-Julius Lemp,Otterpool
30,U-30,Sunk,1.58.00 AM,6/22/1940,,,Norwegian,3999,33,29,4,Fritz-Julius Lemp,Randsfjord
30,U-30,Sunk,2.02.00 AM,6/28/1940,47.3,-10.3,British,5053,35,35,0,Fritz-Julius Lemp,Llanarth
30,U-30,Sunk,12.23.00 AM,7/1/1940,47.2,-10.3,British,5218,117,111,6,Fritz-Julius Lemp,Beignon
30,U-30,Sunk,8.31.00 AM,7/6/1940,,,Egyptian,3154,,0,,Fritz-Julius Lemp,Angele Mabro
30,U-30,Sunk,4.00.00 PM,7/21/1940,42.3,-12.36,British,712,16,16,0,Fritz-Julius Lemp,Ellaroy
30,U-30,Sunk,8.32.00 PM,8/9/1940,55.04,-11.21,Swedish,5779,32,16,16,Fritz-Julius Lemp,Canton
30,U-30,Sunk,7.32.00 PM,8/16/1940,57.3,-17.14,British,6628,108,41,67,Fritz-Julius Lemp,Clan Macphee
31,U-31,Sunk,8.15.00 AM,9/16/1939,49.11,-13.38,British,4060,34,11,23,Johannes Habekost,Aviemore
31,U-31,Sunk,12.50.00 PM,9/24/1939,51.17,-9.22,British,4646,34,23,11,Johannes Habekost,Hazelside
31,U-31,Sunk,9.30.00 AM,12/1/1939,,,Norwegian,1277,17,8,9,Johannes Habekost,Arcturus
31,U-31,Sunk,1.20.00 PM,12/3/1939,55.36,-0.46,Danish,2135,21,15,6,Johannes Habekost,Ove Toft
31,U-31,Sunk,1.23.00 AM,12/4/1939,57.15,1.5,Norwegian,1271,19,16,3,Johannes Habekost,Gimle
31,U-31,Damaged,7.52.00 AM,12/4/1939,,,British,33950,,,0,Johannes Habekost,HMS Nelson (28)
31,U-31,Sunk,3.42.00 PM,12/4/1939,57.15,1.5,Norwegian,1024,15,7,8,Johannes Habekost,Primula
31,U-31,Sunk,7.54.00 AM,12/6/1939,56.03,0.35,Estonian,1575,18,0,18,Johannes Habekost,Agu
31,U-31,Sunk,11.49.00 PM,12/6/1939,56.25,1.08,Swedish,1974,22,22,0,Johannes Habekost,Vinga
31,U-31,Sunk,,12/23/1939,,,British,82,,,,Johannes Habekost,HMS Glen Albyn
31,U-31,Sunk,,12/23/1939,,,British,78,,,,Johannes Habekost,HMS Promotive
31,U-31,Sunk,5.55.00 PM,9/22/1940,59.5,-7.4,Faroese,81,7,7,0,Wilfried Prellberg,Union Jack
31,U-31,Sunk,11.13.00 AM,9/27/1940,,,Norwegian,4319,31,30,1,Wilfried Prellberg,Vestvard
31,U-31,Sunk,4.32.00 AM,10/29/1940,57.3,-16.31,British,5389,71,0,71,Wilfried Prellberg,Matina
32,U-32,Sunk,12.38.00 PM,9/18/1939,50.31,-8.27,British,4863,35,35,0,Paul Büchel,Kensington Court
32,U-32,Sunk,3.37.00 PM,9/28/1939,,,Norwegian,875,14,14,0,Paul Büchel,Jern
32,U-32,Damaged,,10/5/1939,,,British,8063,31,29,2,Paul Büchel,Marwarri
32,U-32,Damaged,4.20.00 PM,10/6/1939,51.24,-4,British,9462,,,0,Paul Büchel,Lochgoil
32,U-32,Sunk,7.47.00 PM,12/31/1939,58.48,3.2,Norwegian,959,,,0,Paul Büchel,Luna
32,U-32,Sunk,7.15.00 AM,3/2/1940,59.34,-5.1,Swedish,2818,28,27,1,Hans Jenisch,Lagaholm
32,U-32,Sunk,5.50.00 PM,6/18/1940,49.39,-11.15,Norwegian,1522,18,18,0,Hans Jenisch,Altair
32,U-32,Sunk,7.12.00 PM,6/18/1940,49.39,-11,Spanish,108,13,7,6,Hans Jenisch,Nuevo Ons
32,U-32,Sunk,7.12.00 PM,6/18/1940,49.39,-11,Spanish,108,12,12,0,Hans Jenisch,Sálvora
32,U-32,Sunk,6.47.00 PM,6/19/1940,51.06,-8.38,Yugoslavian,5334,34,34,0,Hans Jenisch,Labud
32,U-32,Sunk,8.07.00 PM,6/22/1940,50.36,-8.44,Norwegian,9026,37,37,0,Hans Jenisch,Eli Knudsen
32,U-32,Sunk,2.48.00 AM,8/30/1940,58.48,-6.49,British,4318,34,0,34,Hans Jenisch,Mill Hill
32,U-32,Sunk,2.48.00 AM,8/30/1940,58.48,-6.49,British,4804,35,11,24,Hans Jenisch,Chelsea
32,U-32,Sunk,2.48.00 AM,8/30/1940,58.48,-6.49,Norwegian,3971,28,11,17,Hans Jenisch,Norne
